"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-02","0.00","0.0","0.0","79","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-03","0.15","0.0","0.0","82","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-04","0.00","0.0","0.0","74","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-05","0.78","0.0","0.0","60","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-06","0.00","0.0","0.0","82","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-07","0.00","0.0","0.0","87","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-08","0.33","0.0","0.0","84","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-09","0.47","0.0","0.0","67","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-10","0.20","0.0","0.0","58","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-11","0.20","0.0","0.0","71","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-12","0.00","0.0","0.0","58","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-13","0.00","0.0","0.0","53","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-14","0.14","0.0","0.0","69","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-15","0.01","0.0","0.0","79","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-16","0.03","0.0","0.0","82","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-17","0.00","0.0","0.0","84","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-18","0.00","0.0","0.0","81","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-19","0.00","0.0","0.0","54","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-20","0.02","0.0","0.0","51","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-21","0.00","0.0","0.0","70","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-22","0.00","0.0","0.0","68","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-23","0.00","0.0","0.0","83","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-24","0.56","0.0","0.0","76","62"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-25","0.13","0.0","0.0","81","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-26","0.50","0.0","0.0","77","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-27","0.06","0.0","0.0","77","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-28","0.00","0.0","0.0","84","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-29","0.11","0.0","0.0","84","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-30","0.89","0.0","0.0","73","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-05-31","0.06","0.0","0.0","57","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-01","0.00","0.0","0.0","62","48"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-02","0.00","0.0","0.0","71","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-03","0.00","0.0","0.0","79","55"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-04","0.00","0.0","0.0","82","62"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-05","0.00","0.0","0.0","73","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-06","0.00","0.0","0.0","73","54"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-07","0.47","0.0","0.0","83","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-08","0.30","0.0","0.0","86","63"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-09","0.00","0.0","0.0","87","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-10","1.22","0.0","0.0","94","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-11","0.34","0.0","0.0","79","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-12","0.15","0.0","0.0","74","58"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-13","0.44","0.0","0.0","88","58"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-14","1.94","0.0","0.0","85","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-15","1.10","0.0","0.0","83","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-16","0.00","0.0","0.0","74","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-17","0.32","0.0","0.0","72","58"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-18","0.01","0.0","0.0","82","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-19","0.00","0.0","0.0","68","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-20","0.37","0.0","0.0","82","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-21","0.01","0.0","0.0","87","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-22","0.03","0.0","0.0","85","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-23","0.00","0.0","0.0","81","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-24","0.00","0.0","0.0","79","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-25","0.30","0.0","0.0","83","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-26","0.63","0.0","0.0","70","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-27","0.00","0.0","0.0","77","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-28","0.00","0.0","0.0","81","58"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-29","0.73","0.0","0.0","75","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-06-30","0.00","0.0","0.0","80","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-01","0.00","0.0","0.0","68","58"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-02","0.00","0.0","0.0","71","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-03","0.00","0.0","0.0","77","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-04","0.00","0.0","0.0","84","62"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-05","0.00","0.0","0.0","85","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-06","0.50","0.0","0.0","88","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-07","0.40","0.0","0.0","74","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-08","0.02","0.0","0.0","68","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-09","0.04","0.0","0.0","74","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-10","0.00","0.0","0.0","82","63"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-11","0.07","0.0","0.0","81","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-12","0.01","0.0","0.0","83","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-13","0.59","0.0","0.0","88","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-14","0.00","0.0","0.0","84","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-15","0.00","0.0","0.0","76","62"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-16","0.67","0.0","0.0","79","63"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-17","0.00","0.0","0.0","93","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-18","0.17","0.0","0.0","93","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-19","0.00","0.0","0.0","88","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-20","0.00","0.0","0.0","89","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-21","0.00","0.0","0.0","82","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-22","0.00","0.0","0.0","84","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-23","0.00","0.0","0.0","86","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-24","0.00","0.0","0.0","87","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-25","0.00","0.0","0.0","92","73"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-26","0.00","0.0","0.0","82","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-27","0.00","0.0","0.0","90","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-28","0.00","0.0","0.0","94","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-29","0.02","0.0","0.0","90","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-30","0.00","0.0","0.0","90","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-07-31","0.00","0.0","0.0","90","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-01","0.00","0.0","0.0","89","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-02","0.56","0.0","0.0","95","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-03","0.00","0.0","0.0","84","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-04","0.00","0.0","0.0","84","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-05","0.00","0.0","0.0","83","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-06","0.00","0.0","0.0","84","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-07","0.00","0.0","0.0","85","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-08","0.00","0.0","0.0","85","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-09","0.00","0.0","0.0","83","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-10","0.51","0.0","0.0","86","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-11","0.00","0.0","0.0","82","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-12","0.00","0.0","0.0","79","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-13","0.00","0.0","0.0","86","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-14","0.21","0.0","0.0","90","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-15","1.05","0.0","0.0","90","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-16","0.00","0.0","0.0","91","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-17","0.15","0.0","0.0","90","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-18","0.90","0.0","0.0","84","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-19","0.00","0.0","0.0","79","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-20","0.00","0.0","0.0","76","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-21","0.00","0.0","0.0","84","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-08-22","0.00","0.0","0.0","83","66"
